ring,name,category,lat,lon
1,한솔할인마트,상업(소매),36.8313290,127.1743630
1,안서할인마트,상업(소매),36.8306770,127.1778350
1,GS25,상업(소매),36.8318727,127.1747464
1,도서관 분수대,편의시설,36.8327004,127.1779944
1,본관 분수대,편의시설,36.8336134,127.1777847
2,태조산주유소,교통(주유),36.8295570,127.1840130
2,GS25,상업(소매),36.8352568,127.1731406
2,cafe MARIS,외식,36.8343866,127.1729440
2,주차 진입로,교통(주차),36.8392737,127.1767033
2,주차 진입로,교통(주차),36.8379613,127.1791434
2,주차 진입로,교통(주차),36.8393157,127.1762607
2,주차 진입로,교통(주차),36.8389127,127.1764361
2,주차 진입로,교통(주차),36.8388927,127.1764361
2,주차 진입로,교통(주차),36.8403382,127.1778104
3,분수대,편의시설,36.8281735,127.1898418
3,단국대학교병원,의료,36.8420673,127.1722035
3,세븐일레븐,상업(소매),36.8444776,127.1867447
3,정자(가제보),휴게시설,36.8393109,127.1658282
3,단국대학교 천안캠퍼스 예술B동,교육,36.8353533,127.1678283
3,벤치,휴게시설,36.8379362,127.1889916
3,벤치,휴게시설,36.8391373,127.1938343
3,정자(가제보),휴게시설,36.8228147,127.1753351
3,백석대.단국대 버스정류장,교통,36.8273603,127.1652848
3,벤치,휴게시설,36.8261050,127.1902442
3,벤치,휴게시설,36.8251357,127.1874359
3,벤치,휴게시설,36.8228340,127.1769887
